,Location,Range,Row,variable,value
0,Location 1,1,1,pH,6.628905464953149
1,Location 1,2,1,pH,6.21044050414304
2,Location 1,3,1,pH,6.268778779506432
3,Location 1,4,1,pH,7.595893461017394
4,Location 1,5,1,pH,6.804415972622306
5,Location 1,6,1,pH,6.697205369971448
6,Location 1,7,1,pH,6.955958701301431
7,Location 1,8,1,pH,6.44624207271928
8,Location 1,9,1,pH,6.998177278798463
9,Location 1,10,1,pH,7.040343128933207
10,Location 1,1,2,pH,6.843479046901032
11,Location 1,2,2,pH,7.266195587793373
12,Location 1,3,2,pH,6.538640958247898
13,Location 1,4,2,pH,6.882130654049877
14,Location 1,5,2,pH,6.829691118641745
15,Location 1,6,2,pH,6.971975753769192
16,Location 1,7,2,pH,6.502786758396054
17,Location 1,8,2,pH,6.205130139329567
18,Location 1,9,2,pH,7.191246785505333
19,Location 1,10,2,pH,7.153269585953535
20,Location 1,1,3,pH,6.231614426588774
21,Location 1,2,3,pH,6.674940628830578
22,Location 1,3,3,pH,5.990529483932889
23,Location 1,4,3,pH,6.532550631789167
24,Location 1,5,3,pH,6.2345800224041845
25,Location 1,6,3,pH,7.077314114413013
26,Location 1,7,3,pH,7.106439768647698
27,Location 1,8,3,pH,6.813273905326376
28,Location 1,9,3,pH,7.830993382500944
29,Location 1,10,3,pH,6.9481132636937515
30,Location 1,1,4,pH,6.587169486102225
31,Location 1,2,4,pH,7.210363661966417
32,Location 1,3,4,pH,7.018290192716724
33,Location 1,4,4,pH,7.18209686778489
34,Location 1,5,4,pH,6.80307910399892
35,Location 1,6,4,pH,6.452680290601261
36,Location 1,7,4,pH,6.624312078714162
37,Location 1,8,4,pH,6.143066770424233
38,Location 1,9,4,pH,6.79475896352469
39,Location 1,10,4,pH,7.0445462203750004
40,Location 1,1,5,pH,6.380931443287237
41,Location 1,2,5,pH,6.221259674096455
42,Location 1,3,5,pH,6.632546351244723
43,Location 1,4,5,pH,7.8698750608289085
44,Location 1,5,5,pH,6.6960013275068935
45,Location 1,6,5,pH,6.431440921186309
46,Location 1,7,5,pH,7.008610597134994
47,Location 1,8,5,pH,6.710981908151303
48,Location 1,9,5,pH,7.097661456280611
49,Location 1,10,5,pH,7.071049079506465
50,Location 2,1,1,pH,7.004809245391447
51,Location 2,2,1,pH,7.26054546397333
52,Location 2,3,1,pH,6.952586643824304
53,Location 2,4,1,pH,6.604606863635848
54,Location 2,5,1,pH,6.19974218464081
55,Location 2,6,1,pH,6.4810795533957055
56,Location 2,7,1,pH,7.211999204798694
57,Location 2,8,1,pH,6.945704963110068
58,Location 2,9,1,pH,7.142564488149354
59,Location 2,10,1,pH,6.855359677280988
60,Location 2,1,2,pH,6.598059482573741
61,Location 2,2,2,pH,6.743936551663375
62,Location 2,3,2,pH,6.1019143775416325
63,Location 2,4,2,pH,7.07811619344593
64,Location 2,5,2,pH,7.2690171616866905
65,Location 2,6,2,pH,6.462730348697422
66,Location 2,7,2,pH,7.379643200683653
67,Location 2,8,2,pH,6.709340596376016
68,Location 2,9,2,pH,6.756177820884876
69,Location 2,10,2,pH,7.352781609188381
70,Location 2,1,3,pH,6.904116520726944
71,Location 2,2,3,pH,7.041915727889853
72,Location 2,3,3,pH,6.803530801027176
73,Location 2,4,3,pH,6.994699462007873
74,Location 2,5,3,pH,6.711926004921935
75,Location 2,6,3,pH,6.677432399214988
76,Location 2,7,3,pH,7.0126136881970345
